model,seed,missing_type,position,ratio,n,clean_accuracy,clean_macro_f1,clean_weighted_f1,clean_mae,clean_pearson,gap_accuracy,gap_macro_f1,gap_weighted_f1,gap_mae,gap_pearson,delta_macro_f1_clean_minus_gap,delta_mae_gap_minus_clean
M0,31415,text,middle,0.1,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.6041958041958042,0.523326358035121,0.5663897670029813,0.6590784220721807,0.6235191777680579,0.02489001316591377,0.02783880460049981
M1,1729,text,middle,0.1,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6083916083916084,0.5796902795501504,0.6036149870234855,0.6091972348814296,0.626402262503721,0.01964085988372888,0.012768064083700792
M1,2718,text,middle,0.1,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6335664335664336,0.5659299800962548,0.6042413917297663,0.5949945251796056,0.6380850351608156,-0.015668217230363046,0.008162303142562166
M1,31415,text,middle,0.1,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.6055944055944056,0.5157052517676899,0.5609561044114132,0.6545777172390762,0.64031290256114,0.03028127453986007,0.017606869581728524
M0,1729,text,middle,0.2,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.5986013986013986,0.5625049235016131,0.5912398550275125,0.6337114138437526,0.5871860920501896,0.03789253003684434,0.016671993830273846
M0,2718,text,middle,0.2,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.5986013986013986,0.5588103704677704,0.5881651162990975,0.6125559843832405,0.6004370597451955,0.025849911284721028,0.027494297955523828
M0,31415,text,middle,0.2,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.5832167832167832,0.486266678937832,0.534090662302592,0.6778795982779401,0.5977487663124675,0.06194969226320274,0.046639980806259196
M1,1729,text,middle,0.2,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6013986013986014,0.5688489197390997,0.5970092499564043,0.6172334828658251,0.6065544297904756,0.0304822196947796,0.020804312068096298
M1,2718,text,middle,0.2,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6153846153846154,0.5549871109215597,0.5904822016328585,0.6077721641651335,0.6147152873592447,-0.004725348055667933,0.020939942128090028
M1,31415,text,middle,0.2,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.5986013986013986,0.5056296757976438,0.5515018390013998,0.6789554610753992,0.6108825691487104,0.04035685050990612,0.041984613418051486
M0,1729,text,middle,0.3,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.593006993006993,0.5543902248539195,0.5832132531252853,0.6392293359530712,0.5779594764663113,0.04600722868453788,0.02218991593959241
M0,2718,text,middle,0.3,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6139860139860139,0.5693094468498324,0.5995354357941224,0.6189597005133641,0.5974834887518206,0.015350834902658983,0.03389801408564741
M0,31415,text,middle,0.3,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.5664335664335665,0.45979675046612173,0.5101751196127003,0.6863652925244761,0.5892717420765607,0.088419620734913,0.0551256750527952
